Country,Type,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Cambodia,Country/Area,14093.605,14312.205,14541.421,14780.454,15026.33,15274.506,15521.435,15766.29,16009.413,16249.795,16486.542,16718.971
Indonesia,Country/Area,238620.554,241834.226,245115.988,248451.714,251805.314,255128.076,258383.257,261556.386,264650.969,267670.549,270625.567,273523.621
Lao People's Democratic Republic,Country/Area,6148.621,6249.168,6347.564,6444.527,6541.302,6639.763,6741.16,6845.848,6953.031,7061.498,7169.456,7275.556
Malaysia,Country/Area,27735.038,28208.028,28650.962,29068.189,29468.923,29866.606,30270.965,30684.652,31104.655,31528.033,31949.789,32365.998
Myanmar,Country/Area,50250.366,50600.827,50990.612,51413.703,51852.464,52280.816,52680.724,53045.199,53382.521,53708.318,54045.422,54409.794
Philippines,Country/Area,92414.161,93966.784,95570.049,97212.639,98871.558,100513.137,102113.206,103663.812,105172.921,106651.394,108116.622,109581.085
Singapore,Country/Area,4966.614,5131.17,5263.64,5369.469,5453.732,5525.628,5592.143,5653.625,5708.042,5757.503,5804.343,5850.343
Thailand,Country/Area,66866.834,67195.032,67518.379,67835.969,68144.519,68438.748,68714.519,68971.313,69209.817,69428.454,69625.581,69799.978
Timor-Leste,Country/Area,1074.286,1093.517,1113.154,1133.002,1153.288,1174.333,1196.294,1219.289,1243.26,1267.975,1293.12,1318.442
Viet Nam,Country/Area,87092.25,87967.655,88871.384,89801.926,90752.593,91713.85,92677.082,93640.435,94600.643,95545.959,96462.108,97338.583
Anguilla,Country/Area,13.248,13.436,13.612,13.794,13.952,14.114,14.279,14.435,14.588,14.738,14.872,15.002
Antigua and Barbuda,Country/Area,86.743,88.03,89.25,90.407,91.51,92.562,93.571,94.52,95.425,96.282,97.115,97.928
Aruba,Country/Area,101.452,101.665,102.05,102.565,103.165,103.776,104.339,104.865,105.361,105.846,106.31,106.766
Bahamas,Country/Area,349.6,354.936,359.583,363.581,367.162,370.625,374.2,377.923,381.749,385.635,389.486,393.248
Barbados,Country/Area,281.107,282.131,282.987,283.698,284.294,284.825,285.327,285.798,286.229,286.64,287.021,287.371
"Bonaire, Sint Eustatius and Saba",Country/Area,19.648,20.941,21.998,22.84,23.512,24.067,24.571,25.017,25.399,25.709,25.983,26.221
British Virgin Islands,Country/Area,27.035,27.796,28.326,28.654,28.85,28.985,29.148,29.355,29.567,29.795,30.033,30.237
Cayman Islands,Country/Area,55.321,56.672,57.877,58.963,59.933,60.848,61.721,62.564,63.382,64.172,64.948,65.72
Cuba,Country/Area,11226.711,11225.833,11236.671,11257.112,11282.722,11306.909,11324.777,11335.108,11339.255,11338.146,11333.484,11326.616
Curaçao,Country/Area,145.364,149.188,152.309,154.812,156.79,158.432,159.85,161.055,161.986,162.753,163.423,164.1
Dominica,Country/Area,70.848,70.877,70.912,70.954,71.019,71.091,71.175,71.307,71.46,71.626,71.808,71.991
Dominican Republic,Country/Area,9576.736,9695.117,9813.219,9930.916,10048.226,10165.182,10281.675,10397.738,10513.111,10627.147,10738.957,10847.904
Grenada,Country/Area,105.787,106.227,106.786,107.452,108.172,108.9,109.603,110.263,110.874,111.449,112.002,112.519
Guadeloupe,Country/Area,405.444,406.073,405.643,404.446,402.826,401.305,400.26,399.76,399.679,399.848,400.048,400.127
Haiti,Country/Area,9798.046,9949.318,10100.32,10250.922,10400.672,10549.007,10695.54,10839.976,10982.367,11123.183,11263.079,11402.533
Jamaica,Country/Area,2795.839,2810.464,2825.932,2842.128,2858.71,2875.137,2891.024,2906.242,2920.848,2934.853,2948.277,2961.161
Martinique,Country/Area,396.561,394.666,391.886,388.366,384.581,381.142,378.483,376.789,375.946,375.672,375.557,375.265
Montserrat,Country/Area,4.891,4.895,4.913,4.93,4.932,4.952,4.966,4.978,4.989,4.993,4.991,4.999
Puerto Rico,Country/Area,3596.532,3579.842,3559.862,3536.57,3503.865,3453.667,3381.512,3283.121,3163.676,3039.598,2933.404,2860.84
Saint Barthélemy,Country/Area,9.115,9.234,9.34,9.446,9.548,9.62,9.696,9.745,9.788,9.824,9.853,9.885
Saint Kitts and Nevis,Country/Area,48.599,49.011,49.442,49.881,50.328,50.776,51.204,51.629,52.036,52.438,52.834,53.192
Saint Lucia,Country/Area,172.223,174.092,175.538,176.654,177.505,178.307,179.131,180.028,180.955,181.89,182.795,183.629
Saint Martin (French part),Country/Area,37.38,37.582,37.451,37.012,36.458,36.018,35.865,36.061,36.569,37.264,38.002,38.659
Saint Vincent and the Grenadines,Country/Area,108.293,108.26,108.315,108.435,108.624,108.868,109.135,109.467,109.826,110.21,110.593,110.947
Sint Maarten (Dutch part),Country/Area,33.65,34.166,35.05,36.238,37.58,38.872,39.967,40.812,41.444,41.936,42.389,42.882
Trinidad and Tobago,Country/Area,1320.921,1328.144,1336.18,1344.814,1353.708,1362.337,1370.332,1377.563,1384.06,1389.841,1394.969,1399.491
Turks and Caicos Islands,Country/Area,31.933,32.658,33.371,34.067,34.733,35.371,35.979,36.558,37.116,37.667,38.194,38.718
United States Virgin Islands,Country/Area,106.416,106.086,105.794,105.524,105.304,105.107,104.95,104.829,104.745,104.672,104.579,104.423
Belize,Country/Area,314.655,322.465,330.236,338.001,345.707,353.366,360.926,368.399,375.775,383.071,390.351,397.621
Costa Rica,Country/Area,4520.739,4577.371,4633.086,4688.003,4742.111,4795.39,4847.805,4899.336,4949.955,4999.443,5047.561,5094.114
El Salvador,Country/Area,6157.678,6183.877,6210.567,6237.922,6266.076,6295.124,6325.121,6356.137,6388.124,6420.74,6453.55,6486.201
Guatemala,Country/Area,14316.251,14630.42,14948.792,15270.774,15595.821,15923.238,16252.425,16583.079,16914.979,17247.855,17581.476,17915.567
Honduras,Country/Area,8150.78,8317.467,8480.67,8640.692,8798.524,8955.579,9112.904,9270.794,9429.016,9587.523,9746.115,9904.608
Mexico,Country/Area,112463.886,114092.961,115695.468,117274.156,118827.158,120355.137,121858.251,123333.379,124777.326,126190.782,127575.529,128932.753
Nicaragua,Country/Area,5745.538,5824.058,5903.035,5982.53,6062.462,6142.734,6223.234,6303.97,6384.843,6465.502,6545.503,6624.554
Panama,Country/Area,3579.215,3642.691,3706.479,3770.635,3835.447,3901.311,3968.49,4037.073,4106.764,4176.868,4246.44,4314.768
Argentina,Country/Area,40482.786,40895.751,41320.497,41755.188,42196.034,42637.508,43075.416,43508.459,43937.143,44361.15,44780.675,45195.777
Bolivia (Plurinational State of),Country/Area,9884.79,10048.597,10212.951,10377.677,10542.375,10706.517,10869.732,11031.822,11192.853,11353.14,11513.102,11673.029
Brazil,Country/Area,193886.505,195713.637,197514.541,199287.292,201035.904,202763.744,204471.759,206163.056,207833.825,209469.32,211049.519,212559.409
Chile,Country/Area,16886.184,17062.531,17233.584,17400.359,17571.511,17758.969,17969.356,18209.072,18470.435,18729.166,18952.035,19116.209
Colombia,Country/Area,44750.054,45222.699,45662.747,46075.721,46495.492,46967.706,47520.667,48175.048,48909.844,49661.056,50339.443,50882.884
Ecuador,Country/Area,14774.412,15011.114,15243.885,15474.099,15707.473,15951.832,16212.022,16491.116,16785.356,17084.359,17373.657,17643.06
Falkland Islands (Malvinas),Country/Area,2.921,2.902,2.863,2.823,2.793,2.787,2.836,2.926,3.074,3.236,3.372,3.483
French Guiana,Country/Area,227.542,232.996,238.383,243.667,249.049,254.78,261.008,267.824,275.189,282.936,290.823,298.682
Guyana,Country/Area,747.718,749.43,752.029,755.388,759.281,763.371,767.433,771.363,775.218,779.007,782.775,786.559
Paraguay,Country/Area,6163.97,6248.017,6333.981,6421.51,6510.273,6599.524,6688.746,6777.878,6867.058,6956.069,7044.639,7132.53
Peru,Country/Area,28792.663,29027.68,29264.314,29506.79,29773.986,30090.372,30470.739,30926.036,31444.299,31989.265,32510.462,32971.846
Suriname,Country/Area,523.113,529.126,535.177,541.247,547.295,553.278,559.136,564.883,570.501,575.987,581.363,586.634
Uruguay,Country/Area,3349.676,3359.273,3368.926,3378.975,3389.436,3400.439,3412.013,3424.139,3436.645,3449.29,3461.731,3473.727
Venezuela (Bolivarian Republic of),Country/Area,28031.01,28439.942,28887.873,29360.827,29781.046,30042.973,30081.827,29851.249,29402.48,28887.117,28515.829,28435.943
Australia,Country/Area,21750.852,22154.687,22538.002,22903.951,23254.912,23596.426,23932.499,24262.71,24584.619,24898.153,25203.2,25499.881
New Zealand,Country/Area,4323.338,4370.06,4418.674,4468.462,4518.519,4567.522,4614.527,4659.265,4702.029,4743.131,4783.062,4822.233
Fiji,Country/Area,853.636,859.816,863.451,865.065,865.602,866.447,868.632,872.406,877.46,883.49,889.955,896.444
New Caledonia,Country/Area,250.082,253.529,257.066,260.657,264.239,267.732,271.062,274.19,277.159,279.986,282.757,285.491
Papua New Guinea,Country/Area,7144.774,7310.512,7472.196,7631.003,7788.388,7946.733,8107.772,8271.766,8438.038,8606.324,8776.119,8947.027
Solomon Islands,Country/Area,515.182,527.861,541.522,556.066,571.329,587.079,603.133,619.438,636.03,652.856,669.821,686.878
Vanuatu,Country/Area,230.244,236.216,242.658,249.505,256.637,263.888,271.128,278.326,285.499,292.675,299.882,307.15
Guam,Country/Area,159.232,159.439,159.69,159.99,160.415,161.007,161.851,162.948,164.281,165.77,167.295,168.783
Kiribati,Country/Area,100.928,102.93,104.735,106.359,107.887,109.387,110.927,112.529,114.153,115.842,117.608,119.446
Marshall Islands,Country/Area,56.255,56.361,56.524,56.712,56.933,57.183,57.444,57.723,58.053,58.412,58.791,59.194
Micronesia (Fed. States of),Country/Area,102.971,102.916,103.448,104.506,105.922,107.444,108.886,110.215,111.461,112.64,113.811,115.021
Nauru,Country/Area,9.945,10.009,10.069,10.136,10.208,10.289,10.374,10.474,10.577,10.678,10.764,10.834
Northern Mariana Islands,Country/Area,54.194,53.971,54.013,54.306,54.786,55.301,55.779,56.187,56.553,56.889,57.213,57.557
Palau,Country/Area,18.29,17.954,17.748,17.635,17.603,17.625,17.665,17.718,17.809,17.911,18.001,18.092
American Samoa,Country/Area,56.675,56.084,55.755,55.669,55.717,55.791,55.806,55.739,55.617,55.461,55.312,55.197
Cook Islands,Country/Area,18.602,18.392,18.2,18.009,17.834,17.685,17.581,17.521,17.505,17.519,17.547,17.564
French Polynesia,Country/Area,265.256,266.449,267.702,268.995,270.332,271.713,273.119,274.576,276.108,277.673,279.285,280.904
Niue,Country/Area,1.622,1.622,1.618,1.606,1.606,1.607,1.61,1.611,1.612,1.61,1.614,1.618
Samoa,Country/Area,184.553,185.944,187.469,189.089,190.712,192.22,193.51,194.54,195.358,196.128,197.093,198.41
Tokelau,Country/Area,1.126,1.129,1.138,1.163,1.191,1.217,1.247,1.276,1.297,1.318,1.33,1.35
Tonga,Country/Area,103.897,103.981,103.558,102.736,101.768,101.023,100.78,101.143,102.002,103.199,104.497,105.697
Tuvalu,Country/Area,10.413,10.521,10.626,10.744,10.849,10.973,11.099,11.232,11.365,11.505,11.655,11.792
Wallis and Futuna Islands,Country/Area,13.071,12.686,12.463,12.369,12.353,12.338,12.262,12.098,11.894,11.653,11.436,11.246
Belarus,Country/Area,9433.159,9420.576,9415.316,9417.045,9423.502,9431.742,9439.424,9445.638,9450.233,9452.615,9452.409,9449.321
Bulgaria,Country/Area,7473.509,7425.011,7378.652,7334.007,7290.092,7245.648,7199.739,7151.948,7102.452,7051.61,7000.117,6948.445
Czechia,Country/Area,10488.155,10536.514,10566.512,10581.302,10586.529,10591.104,10601.39,10618.868,10641.032,10665.679,10689.213,10708.982
Hungary,Country/Area,9959.439,9927.38,9895.689,9864.363,9833.923,9804.991,9777.925,9752.97,9729.822,9707.502,9684.68,9660.35
Poland,Country/Area,38351.924,38329.784,38286.824,38227.033,38158.043,38091.095,38034.076,37989.218,37953.176,37921.585,37887.771,37846.605
Republic of Moldova,Country/Area,4097.515,4086.09,4079.167,4075.804,4074.585,4073.407,4070.705,4066.013,4059.687,4051.95,4043.258,4033.963
Romania,Country/Area,20637.995,20471.86,20336.718,20227.467,20132.78,20035.928,19925.182,19796.28,19653.966,19506.11,19364.558,19237.682
Russian Federation,Country/Area,143326.904,143479.273,143703.027,143993.888,144325.456,144664.837,144985.059,145275.374,145530.091,145734.034,145872.26,145934.46
Slovakia,Country/Area,5401.149,5404.293,5408.932,5414.894,5421.721,5428.798,5435.614,5442.001,5447.903,5453.017,5457.012,5459.643
Ukraine,Country/Area,45970.942,45792.086,45619.85,45453.805,45286.988,45111.53,44921.636,44713.708,44487.708,44246.158,43993.643,43733.759
Channel Islands,Country/Area,158.187,159.718,160.99,162.051,163.039,164.107,165.387,166.922,168.666,170.496,172.264,173.859
Denmark,Country/Area,5526.389,5554.849,5582.98,5610.909,5638.152,5664.199,5688.695,5711.346,5732.277,5752.131,5771.877,5792.203
Estonia,Country/Area,1336.14,1332.103,1327.701,1323.163,1319.068,1316.273,1315.33,1316.507,1319.389,1322.913,1325.649,1326.539
Faroe Islands,Country/Area,47.814,47.803,47.815,47.843,47.901,47.965,48.055,48.173,48.326,48.497,48.677,48.865
Finland,Country/Area,5342.266,5365.784,5390.036,5414.769,5438.984,5461.41,5481.128,5497.714,5511.372,5522.585,5532.159,5540.718
Iceland,Country/Area,316.057,320.342,323.471,325.642,327.194,328.592,330.237,332.209,334.395,336.712,339.037,341.25
Ireland,Country/Area,4494.572,4554.33,4591.115,4608.199,4615.426,4626.852,4652.42,4695.79,4753.281,4818.694,4882.498,4937.796
