,Country,Cases,Deaths,Date,Lon,Lat,population,Year,Pandemic
308,Nepal,172,3,,83.91582640000001,28.24891365,26883531000.000004,2009,Swineflu-W
309,Barbados,154,3,,-59.559797,13.18145428,281107000.0,2009,Swineflu-W
310,Armenia,119,3,,44.92993276,40.28952569,2888094000.0,2009,Swineflu-W
311,Iceland,676,2,,-18.57396167,64.99575386,316057000.0,2009,Swineflu-W
312,Brunei Darussalam,971,2,,114.72203035,4.51968958,383902000.0,2009,Swineflu-W
313,Samoa,138,2,,-172.16485064,-13.75324346,184553000.0,2009,Swineflu-W
314,Suriname,110,2,,-55.9123457,4.13055413,523113000.00000006,2009,Swineflu-W
315,Mozambique,57,2,,35.53367543,-17.27381643,22894718000.0,2009,Swineflu-W
316,Nigeria,11,2,,8.08943895,9.59411452,154324939000.0,2009,Swineflu-W
317,United Republic of Tanzania,770,1,,34.81309981,-6.27565408,43073830000.0,2009,Swineflu-W
318,Libya,764,1,,18.00866169,27.03094495,6133986999.999999,2009,Swineflu-W
319,Lao People's Democratic Republic,242,1,,103.73772412,18.50217433,6148621000.0,2009,Swineflu-W
320,Cayman Islands,121,1,,-80.91213321,19.42896497,55321000.00000001,2009,Swineflu-W
321,Marshall Islands,115,1,,170.33976122,7.00376358,56255000.0,2009,Swineflu-W
322,Cook Islands,106,1,,-159.78724218,-21.21927288,18602000.0,2009,Swineflu-W
323,Namibia,75,1,,17.20963567,-22.13032568,2081039000.0,2009,Swineflu-W
324,Maldives,35,1,,73.45713004,3.7287092,353390999.99999994,2009,Swineflu-W
325,Bermuda,25,1,,-64.7545589,32.31367802,65675000.0,2009,Swineflu-W
326,Tonga,20,1,,-174.80987341,-20.42843174,103897000.0,2009,Swineflu-W
327,Falkland Islands (Malvinas),7,1,,-59.35238956,-51.74483954,2921000.0000000005,2009,Swineflu-W
328,Solomon Islands,4,1,,159.63287668,-8.92178022,515182000.0,2009,Swineflu-W
329,Zimbabwe,1318,0,,29.8514412,-19.00420419,12526964000.0,2009,Swineflu-W
330,Zambia,726,0,,27.77475946,-13.45824152,13215142000.0,2009,Swineflu-W
331,Rwanda,482,0,,29.91988515,-1.99033832,9782770000.0,2009,Swineflu-W
332,Kenya,417,0,,37.79593973,0.59988022,40901797999.999985,2009,Swineflu-W
333,Senegal,325,0,,-14.4734924,14.36624173,12335091999.999998,2009,Swineflu-W
334,Uganda,263,0,,32.36907971,1.27469299,31411096000.0,2009,Swineflu-W
335,Fiji,234,0,,165.45195432,-17.42858032,853636000.0000001,2009,Swineflu-W
336,Democratic Republic of the Congo,222,0,,23.64396107,-2.87746289,62448572000.0,2009,Swineflu-W
337,Myanmar,137,0,,96.48843321,21.18566599,50250365999.999985,2009,Swineflu-W
338,Cabo Verde,118,0,,-23.9598882,15.95523324,486667000.0,2009,Swineflu-W
339,Bhutan,91,0,,90.40188155,27.41106589,678329000.0,2009,Swineflu-W
340,Haiti,91,0,,-72.68527509,18.93502563,9798046000.0,2009,Swineflu-W
341,Micronesia (Fed. States of),82,0,,153.23943792,7.45246814,102971000.0,2009,Swineflu-W
342,Antigua and Barbuda,75,0,,-61.79469343,17.277499600000002,86743000.0,2009,Swineflu-W
343,Isle of Man,75,0,,-4.53873952,54.22418911,84378999.99999999,2009,Swineflu-W
344,Lesotho,65,0,,28.22723131,-29.58003188,1990135000.0,2009,Swineflu-W
345,Kyrgyzstan,61,0,,74.54165513,41.46221943,5334708000.000001,2009,Swineflu-W
346,Belize,49,0,,-88.71010486,17.20027509,314655000.0,2009,Swineflu-W
347,Niger,49,0,,9.38545882,17.41912493,15843131000.000004,2009,Swineflu-W
348,Palau,47,0,,134.40807966,7.28742784,18290000.0,2009,Swineflu-W
349,Faroe Islands,44,0,,-6.88095423,62.05385403,47813999.99999999,2009,Swineflu-W
350,Turks and Caicos Islands,44,0,,-71.97387881,21.83047572,31933000.000000004,2009,Swineflu-W
351,Angola,37,0,,17.53736768,-12.29336054,22514275000.0,2009,Swineflu-W
352,Dominica,36,0,,-61.357726,15.4394702,70848000.0,2009,Swineflu-W
353,Monaco,36,0,,7.40627677,43.75274627,35223000.0,2009,Swineflu-W
354,Seychelles,33,0,,55.47603279,-4.66099094,90788000.0,2009,Swineflu-W
355,Botswana,31,0,,23.79853368,-22.18403213,1953495000.0,2009,Swineflu-W
356,Mali,29,0,,-3.54269065,17.34581581,14581427000.0,2009,Swineflu-W
357,Guyana,27,0,,-58.98202459,4.79378034,747718000.0000001,2009,Swineflu-W
358,British Virgin Islands,25,0,,-64.47146992,18.52585755,27035000.0,2009,Swineflu-W
359,Montserrat,21,0,,-62.18518546,16.73941406,4891000.0,2009,Swineflu-W
360,Congo,21,0,,15.21965762,-0.83787463,4145400000.0,2009,Swineflu-W
361,Grenada,20,0,,-61.68220189,12.11725044,105787000.0,2009,Swineflu-W
362,Ethiopia,19,0,,39.60080098,8.62278679,85233923000.00003,2009,Swineflu-W
363,Kazakhstan,17,0,,67.29149357,48.15688067,16043015000.0,2009,Swineflu-W
364,Tajikistan,16,0,,71.01362631,38.5304539,7364751999.999998,2009,Swineflu-W
365,Mauritania,15,0,,-10.34779815,20.25736706,3393408000.0,2009,Swineflu-W
366,Anguilla,14,0,,-63.06498927,18.2239595,13248000.0,2009,Swineflu-W
367,Azerbaijan,14,0,,47.54599879,40.28827235,8924383000.0,2009,Swineflu-W
368,Papua New Guinea,12,0,,145.20744752,-6.46416646,7144774000.0,2009,Swineflu-W
369,Djibouti,9,0,,42.5606754,11.74871806,827820000.0,2009,Swineflu-W
370,Nauru,8,0,,166.93256823,-0.51912639,9945000.0,2009,Swineflu-W
371,Burundi,7,0,,29.87512156,-3.35939666,8397661000.0,2009,Swineflu-W
372,Timor-Leste,7,0,,125.84438982,-8.82889162,1074286000.0,2009,Swineflu-W
373,Liechtenstein,5,0,,9.53574312,47.13665835,35723000.0,2009,Swineflu-W
374,San Marino,5,0,,12.45922334,43.94186747,30825000.0,2009,Swineflu-W
375,Cameroon,4,0,,12.73964156,5.69109849,19789922000.0,2009,Swineflu-W
376,Gabon,4,0,,11.7886287,-0.58660025,1568925000.0,2009,Swineflu-W
377,Kiribati,4,0,,-45.61110513,0.86001503,100928000.0,2009,Swineflu-W
378,Guinea,3,0,,-10.94066612,10.43621593,9964470000.0,2009,Swineflu-W
379,Vanuatu,3,0,,167.68644636,-16.22640909,230244000.00000003,2009,Swineflu-W
380,Somalia,2,0,,45.70714487,4.75062876,11717691000.0,2009,Swineflu-W
381,Andorra,1,0,,1.56054378,42.54229102,84461000.0,2009,Swineflu-W
382,Chad,1,0,,18.64492513,15.33333758,11560142000.0,2009,Swineflu-W
383,Greenland,1,0,,-41.34191127,74.71051289,56729000.0,2009,Swineflu-W
