Pandemic_covid19,Country,Year,Cases_covid19,Deaths_covid19,lon_covid19,lat_covid19,Pandemic_h1n1,year,Cases_h1n1,Deaths_h1n1,lon_h1n1,lat_h1n1
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-63.05972851,18.08888611,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,165.68492374,-21.29991806,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-144.90494387,-14.72227409,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-56.30319779,46.91918789,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,69.22666758,-49.24895485
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-62.84067779,17.89880451
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-2.76172945,42.17344011
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-63.05972851,18.08888611
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,165.68492374,-21.29991806
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-144.90494387,-14.72227409
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-56.30319779,46.91918789
covid19,France,2020.0,144802.0,4825.0,-177.34834825,-13.88737039,h1n1,2009.0,2417.0,0.0,-177.34834825,-13.88737039
covid19,French Guiana,2020.0,117.0,0.0,,,,,,,,
covid19,Gabon,2020.0,29.0,5.0,11.7886287,-0.58660025,,,,,,
covid19,Gambia,2020.0,11.0,2.0,-15.39601295,13.44965244,,,,,,
covid19,Georgia,2020.0,629.0,0.0,43.50780252,42.16855755,,,,,,
covid19,Germany,2020.0,198142.0,675.0,10.38578051,51.10698181,h1n1,2009.0,3787.0,0.0,10.38578051,51.10698181
covid19,Ghana,2020.0,178.0,6.0,-1.21676566,7.95345644,,,,,,
covid19,Gibraltar,2020.0,7.0,0.0,,,,,,,,
